"date","max_temperature_f","mean_temperature_f","min_temperature_f","max_visibility_miles","mean_visibility_miles","min_visibility_miles","max_wind_Speed_mph","mean_wind_speed_mph","max_gust_speed_mph","precipitation_inches","cloud_cover","events","zip_code","city"
"1/1/2014",56,49,41,10,9,7,9,1,10,"0",3,"",94107,"San Francisco"
"1/2/2014",62,53,43,10,10,10,6,1,6,"0",3,"",94107,"San Francisco"
"1/3/2014",64,54,44,10,10,9,14,4,16,"0",3,"",94107,"San Francisco"
"1/4/2014",66,55,43,10,6,0,15,2,18,"0",2,"Fog",94107,"San Francisco"
"1/5/2014",66,55,44,10,10,10,14,5,15,"0",0,"",94107,"San Francisco"
"1/6/2014",60,52,44,10,10,7,9,2,10,"0",5,"",94107,"San Francisco"
"1/7/2014",61,54,46,10,9,7,15,4,17,"T",5,"Rain",94107,"San Francisco"
"1/8/2014",59,56,52,10,9,3,20,9,24,"0.01",7,"",94107,"San Francisco"
"1/9/2014",60,56,52,10,10,5,25,12,31,"T",5,"",94107,"San Francisco"
"1/10/2014",60,54,48,10,9,6,15,6,17,"0",4,"",94107,"San Francisco"
"1/11/2014",58,52,46,10,10,6,18,6,22,"T",4,"",94107,"San Francisco"
"1/12/2014",60,53,46,10,10,7,17,7,20,"0",2,"",94107,"San Francisco"
"1/13/2014",67,55,42,10,10,10,18,3,22,"0",1,"",94107,"San Francisco"
"1/14/2014",72,58,44,10,10,10,12,2,15,"0",0,"",94107,"San Francisco"
"1/15/2014",73,61,48,10,10,10,10,3,13,"0",0,"",94107,"San Francisco"
"1/16/2014",73,60,46,10,10,10,8,2,10,"0",0,"",94107,"San Francisco"
"1/17/2014",67,56,45,10,9,5,5,1,7,"0",0,"",94107,"San Francisco"
"1/18/2014",67,55,43,10,9,7,7,1,12,"0",0,"",94107,"San Francisco"
"1/19/2014",67,55,43,10,10,8,7,2,7,"0",1,"",94107,"San Francisco"
"1/20/2014",66,55,43,10,9,7,9,2,9,"0",1,"",94107,"San Francisco"
"1/21/2014",68,56,43,10,10,10,12,2,13,"0",3,"",94107,"San Francisco"
"1/22/2014",65,55,44,10,10,10,18,5,22,"0",1,"",94107,"San Francisco"
"1/23/2014",69,57,44,10,9,7,17,5,21,"0",0,"",94107,"San Francisco"
"1/24/2014",64,55,46,10,8,4,9,3,9,"0",3,"",94107,"San Francisco"
"1/25/2014",65,57,48,10,9,7,12,2,13,"0",2,"",94107,"San Francisco"
"1/26/2014",66,57,48,10,10,9,21,6,24,"0",3,"",94107,"San Francisco"
"1/27/2014",59,54,48,10,10,7,18,6,20,"0",6,"",94107,"San Francisco"
"1/28/2014",65,59,53,10,10,2,17,5,21,"0",7,"",94107,"San Francisco"
"1/29/2014",63,59,54,10,10,7,20,8,22,"T",8,"Rain",94107,"San Francisco"
"1/30/2014",58,55,52,10,10,9,30,14,38,"T",6,"Rain",94107,"San Francisco"
"1/31/2014",60,54,47,10,10,9,32,12,38,"0",1,"",94107,"San Francisco"
"2/1/2014",59,51,42,10,10,10,20,6,23,"0",1,"",94107,"San Francisco"
"2/2/2014",58,53,47,10,8,4,29,12,33,"0.85",7,"Rain",94107,"San Francisco"
"2/3/2014",56,51,46,10,10,10,25,11,32,"0",3,"",94107,"San Francisco"
"2/4/2014",55,50,44,10,10,10,21,7,23,"0",4,"",94107,"San Francisco"
"2/5/2014",55,49,43,10,10,10,17,7,24,"0.09",6,"Rain",94107,"San Francisco"
"2/6/2014",52,50,48,10,8,2,20,7,23,"0.64",8,"Rain",94107,"San Francisco"
"2/7/2014",56,54,51,10,9,3,31,11,40,"0.23",8,"Rain",94107,"San Francisco"
"2/8/2014",59,56,53,10,5,2,28,13,37,"0.42",8,"Rain",94107,"San Francisco"
"2/9/2014",59,57,55,10,6,2,21,9,26,"0.35",8,"Rain",94107,"San Francisco"
"2/10/2014",57,54,51,10,9,2,17,10,20,"T",7,"Rain",94107,"San Francisco"
"2/11/2014",56,53,49,10,10,7,22,9,26,"0",6,"",94107,"San Francisco"
"2/12/2014",56,51,46,10,7,0,18,6,22,"0",6,"Fog",94107,"San Francisco"
"2/13/2014",67,59,50,10,6,0,15,8,20,"0",6,"Fog",94107,"San Francisco"
"2/14/2014",66,61,56,10,8,2,14,5,16,"0",7,"",94107,"San Francisco"
"2/15/2014",62,57,52,10,10,7,17,5,21,"T",7,"Rain",94107,"San Francisco"
"2/16/2014",63,57,50,10,10,6,20,8,23,"0.01",3,"",94107,"San Francisco"
"2/17/2014",61,54,46,10,10,10,21,10,25,"0",3,"",94107,"San Francisco"
"2/18/2014",62,55,48,10,10,5,22,8,25,"0",5,"",94107,"San Francisco"
"2/19/2014",62,57,51,10,10,10,23,14,26,"0.01",4,"",94107,"San Francisco"
"2/20/2014",67,56,45,10,10,9,18,6,22,"0",4,"",94107,"San Francisco"
"2/21/2014",69,58,47,10,10,10,22,7,26,"0",1,"",94107,"San Francisco"
"2/22/2014",66,56,46,10,10,10,23,9,28,"0",2,"",94107,"San Francisco"
"2/23/2014",63,55,46,10,9,6,23,8,26,"0",3,"",94107,"San Francisco"
"2/24/2014",71,58,45,10,10,10,17,6,21,"0",1,"",94107,"San Francisco"
"2/25/2014",62,55,48,10,9,7,20,6,23,"0",6,"",94107,"San Francisco"
"2/26/2014",60,57,54,10,9,4,31,15,39,"0.43",8,"Rain",94107,"San Francisco"
"2/27/2014",62,58,55,10,10,8,17,15,35,"0.22",8,"Rain",94107,"San Francisco"
"2/28/2014",63,59,55,10,8,1,26,13,33,"0.74",8,"rain",94107,"San Francisco"
"1/1/2014",55,47,39,10,8,4,6,0,,"0",1,"",94063,"Redwood City"
"1/2/2014",60,50,41,10,10,7,6,0,,"0",1,"",94063,"Redwood City"
"1/3/2014",55,48,42,10,10,9,8,1,,"0",1,"",94063,"Redwood City"
"1/4/2014",62,52,41,10,8,0,6,2,,"0",1,"Fog",94063,"Redwood City"
"1/5/2014",62,50,39,10,10,10,4,0,,"0",0,"",94063,"Redwood City"
"1/6/2014",57,49,41,10,10,7,6,1,,"0",2,"",94063,"Redwood City"
"1/7/2014",59,52,46,10,9,5,9,3,,"0",3,"",94063,"Redwood City"
"1/8/2014",57,52,46,10,9,2,10,4,,"0",6,"",94063,"Redwood City"
"1/9/2014",59,52,46,10,9,5,18,3,23,"0",4,"",94063,"Redwood City"
"1/10/2014",59,52,44,10,10,7,7,2,,"0",2,"",94063,"Redwood City"
"1/11/2014",57,50,44,10,9,6,8,2,,"0",4,"",94063,"Redwood City"
"1/12/2014",59,50,41,10,10,9,12,4,,"0",2,"",94063,"Redwood City"
"1/13/2014",66,54,41,10,10,10,9,2,,"0",0,"",94063,"Redwood City"
"1/14/2014",69,55,41,10,10,10,13,2,,"0",0,"",94063,"Redwood City"
"1/15/2014",69,56,44,10,10,10,6,2,,"0",0,"",94063,"Redwood City"
"1/16/2014",69,56,42,10,10,9,5,1,,"0",0,"",94063,"Redwood City"
"1/17/2014",62,52,42,10,9,6,7,1,,"0",0,"",94063,"Redwood City"
"1/18/2014",62,52,41,10,8,6,7,0,,"0",0,"",94063,"Redwood City"
"1/19/2014",66,52,39,10,9,6,7,0,,"0",0,"",94063,"Redwood City"
"1/20/2014",64,52,41,10,8,6,6,1,,"0",0,"",94063,"Redwood City"
"1/21/2014",66,54,41,10,10,10,5,0,,"0",1,"",94063,"Redwood City"
"1/22/2014",64,52,41,10,10,10,7,1,,"0",0,"",94063,"Redwood City"
"1/23/2014",66,54,42,10,10,7,7,1,,"0",1,"",94063,"Redwood City"
"1/24/2014",60,50,41,8,6,4,4,0,,"0",3,"",94063,"Redwood City"
"1/25/2014",66,56,46,10,8,5,7,1,,"0",2,"",94063,"Redwood City"
"1/26/2014",68,58,48,10,10,10,6,4,,"0",4,"",94063,"Redwood City"
"1/27/2014",57,52,48,10,9,6,7,4,,"0",4,"",94063,"Redwood City"
"1/28/2014",66,58,50,10,10,8,13,2,,"0",7,"",94063,"Redwood City"
"1/29/2014",64,60,55,10,8,2,14,2,,"0",8,"",94063,"Redwood City"
"1/30/2014",59,55,51,10,10,10,14,5,20,"0",7,"Rain",94063,"Redwood City"
"1/31/2014",59,52,46,10,10,10,15,6,20,"0",2,"",94063,"Redwood City"
"2/1/2014",57,48,39,10,10,10,10,4,,"0",0,"",94063,"Redwood City"
"2/2/2014",50,47,44,10,9,3,13,4,23,"0",5,"Rain",94063,"Redwood City"
"2/3/2014",53,47,41,10,10,10,16,4,21,"0",4,"",94063,"Redwood City"
"2/4/2014",53,46,39,10,10,10,10,3,,"0",2,"",94063,"Redwood City"
"2/5/2014",55,47,39,10,10,6,10,3,16,"0",5,"Rain",94063,"Redwood City"
"2/6/2014",53,50,46,10,7,2,16,6,18,"0.06",8,"Rain",94063,"Redwood City"
"2/7/2014",57,54,50,10,9,3,22,5,29,"0",6,"Rain",94063,"Redwood City"
"2/8/2014",60,56,53,10,8,2,17,11,24,"0",8,"Rain",94063,"Redwood City"
"2/9/2014",60,58,57,10,6,2,14,9,17,"0",8,"Rain",94063,"Redwood City"
"2/10/2014",59,54,50,10,9,4,10,4,,"0",5,"",94063,"Redwood City"
"2/11/2014",57,52,46,10,8,0,10,2,,"0",4,"Fog",94063,"Redwood City"
"2/12/2014",57,52,46,10,8,2,8,2,,"0",4,"",94063,"Redwood City"
"2/13/2014",68,59,50,10,6,0,9,3,,"0",4,"Fog",94063,"Redwood City"
"2/14/2014",62,56,50,10,9,2,9,2,,"0",5,"",94063,"Redwood City"
"2/15/2014",60,54,48,10,10,5,16,2,,"0",4,"Rain",94063,"Redwood City"
"2/16/2014",62,55,48,10,10,2,12,5,,"0",2,"Rain",94063,"Redwood City"
"2/17/2014",59,50,42,10,10,10,13,4,,"0",2,"",94063,"Redwood City"
"2/18/2014",64,54,44,10,10,10,13,2,,"0",2,"",94063,"Redwood City"
"2/19/2014",62,56,48,10,10,2,14,6,18,"0",4,"",94063,"Redwood City"
"2/20/2014",66,56,46,10,10,10,6,1,,"0",2,"",94063,"Redwood City"
"2/21/2014",69,58,46,10,10,10,8,1,,"0",1,"",94063,"Redwood City"
"2/22/2014",68,56,44,10,10,6,12,1,,"0",2,"",94063,"Redwood City"
"2/23/2014",66,56,46,10,9,4,9,1,,"0",3,"",94063,"Redwood City"
"2/24/2014",71,58,46,10,10,10,8,1,,"0",0,"",94063,"Redwood City"
"2/25/2014",62,55,48,10,9,4,12,3,16,"0",4,"",94063,"Redwood City"
"2/26/2014",59,56,53,10,9,2,17,8,25,"0",7,"Rain",94063,"Redwood City"
"2/27/2014",64,60,55,10,10,5,15,7,18,"0",7,"Rain",94063,"Redwood City"
"2/28/2014",62,58,53,10,7,2,28,12,37,"0.16",7,"Rain",94063,"Redwood City"
"1/1/2014",59,48,36,10,8,6,8,1,12,"0",0,"",94301,"Palo Alto"
"1/2/2014",66,53,39,10,10,8,7,1,9,"0",0,"",94301,"Palo Alto"
"1/3/2014",62,52,42,10,10,8,8,1,8,"0",0,"",94301,"Palo Alto"
"1/4/2014",67,54,40,10,10,7,12,3,15,"0",0,"",94301,"Palo Alto"
"1/5/2014",66,51,36,10,10,10,7,1,12,"0",0,"",94301,"Palo Alto"
"1/6/2014",61,51,40,10,10,9,8,1,9,"0",0,"",94301,"Palo Alto"
"1/7/2014",62,53,43,10,9,6,9,2,9,"0",2,"",94301,"Palo Alto"
"1/8/2014",58,53,48,10,8,2,13,3,15,"0.01",6,"Rain",94301,"Palo Alto"
"1/9/2014",61,54,46,10,9,2,15,4,21,"0.01",4,"Rain",94301,"Palo Alto"
